id,longitude,latitude,max_capacity,bike_count,past_rent_01,past_rent_02,past_rent_03,past_rent_04,past_return_01,past_return_02,past_return_03,past_return_04,pred_rent_01,pred_rent_02,pred_rent_03,pred_rent_04,pred_return_01,pred_return_02,pred_return_03,pred_return_04
13070,118.7900174,32.04991266,26,11,4,4,2,2,2,2,1,1,10,10,5,3,10,7,3,6
13072,118.7977071,32.06144002,20,3,0,0,1,2,3,5,2,4,3,0,0,0,16,8,7,5
13073,118.7961095,32.06025251,40,3,0,1,0,3,1,1,0,2,5,2,1,1,1,3,0,0
13075,118.807689,32.05255669,37,5,0,2,1,0,0,5,0,0,2,2,3,0,4,4,4,0
13094,118.7964086,32.0557231,35,1,5,1,1,3,1,3,1,2,4,8,3,0,6,6,4,1
13095,118.7862237,32.06480374,22,1,2,2,5,1,1,4,4,2,8,5,7,0,9,8,8,0
13096,118.7864235,32.06462356,27,2,1,1,2,2,1,1,2,4,7,6,3,2,8,5,4,1
13097,118.7876208,32.05208498,26,4,8,5,1,5,2,3,1,3,11,15,6,2,14,6,5,7
13098,118.7874207,32.04800612,37,5,4,4,5,4,3,0,2,2,15,12,10,3,6,3,3,2
13099,118.7851262,32.07740219,35,6,0,1,0,1,2,0,0,0,2,0,0,0,0,4,0,0
15001,118.7666272,32.0425516,52,23,9,10,9,11,0,0,0,3,34,22,18,5,4,2,0,1
15002,118.7760682,32.04249008,60,28,5,4,5,0,1,0,1,0,12,10,9,3,3,5,0,2
15003,118.7769384,32.04245142,58,20,12,14,16,13,3,7,6,9,48,40,29,8,29,13,13,8
15004,118.7835398,32.04215857,58,15,0,5,9,7,4,5,12,2,21,8,15,2,20,10,15,3
15005,118.7891099,32.04184155,35,2,1,0,0,2,2,3,9,6,2,4,2,0,18,7,12,0
15006,118.7910373,32.04166426,42,7,1,1,3,4,1,4,1,0,7,3,4,0,6,8,5,2
15007,118.79529,32.04139982,58,10,7,4,10,9,3,6,3,5,29,16,14,5,19,10,9,6
15008,118.7999136,32.04112635,52,7,2,2,3,3,2,1,2,3,10,5,5,3,10,4,2,4
15009,118.8033887,32.04084916,55,12,5,2,2,4,1,2,3,5,9,8,3,1,14,5,6,4
15011,118.7811563,32.04108311,60,16,0,3,3,2,1,3,3,1,7,5,7,0,11,8,6,4
15012,118.7841619,32.03989445,60,17,5,9,6,14,3,5,4,3,35,22,16,8,14,12,8,3
15013,118.7880511,32.03976325,41,2,0,2,1,1,0,11,5,4,1,5,4,0,29,12,15,10
15014,118.7946629,32.039878,34,6,7,5,4,4,5,2,5,4,17,15,8,4,15,10,7,4
15015,118.7762106,32.03785202,41,12,4,5,3,4,7,7,4,4,16,11,9,5,16,21,11,2
15016,118.7788762,32.03730999,39,10,2,3,1,1,4,4,9,0,10,11,5,5,17,10,14,3
15017,118.7837641,32.03771134,58,9,3,3,5,5,0,8,11,7,17,7,7,4,35,13,18,7
15018,118.7875125,32.03701848,56,16,4,0,8,5,5,6,2,11,16,4,8,4,28,15,8,11
15019,118.7896817,32.03739587,41,7,3,5,4,1,2,1,7,3,15,10,10,5,11,3,7,2
15020,118.7706533,32.03451045,41,3,0,0,1,5,0,2,5,2,10,0,1,6,8,2,6,1
15021,118.7772574,32.03468592,44,2,1,2,2,1,1,2,0,2,4,7,5,0,4,4,0,1
15022,118.7820348,32.03565851,48,9,4,2,5,5,6,9,10,12,17,10,8,4,54,22,21,25
15023,118.7897615,32.03575615,41,6,5,1,1,3,1,1,1,4,7,6,2,3,9,5,3,1
15024,118.7913073,32.03550132,45,5,0,2,0,2,0,3,0,0,3,3,3,0,4,4,3,2
15025,118.7933245,32.03610162,47,11,3,6,2,8,4,4,7,4,19,12,8,4,14,9,10,0
15026,118.7757965,32.03297543,41,7,2,2,1,3,2,3,3,2,7,2,2,1,11,6,5,3
15027,118.7766667,32.03272183,58,9,1,3,3,0,5,1,1,2,7,7,7,0,8,8,3,5
15028,118.7925505,32.0348269,62,30,1,10,10,10,6,1,6,1,37,13,19,9,12,9,8,5
15029,118.7921779,32.03336971,60,24,19,12,15,18,4,4,2,6,54,39,26,9,19,9,7,7
15030,118.772261,32.0309603,45,7,7,3,3,4,5,3,5,2,9,11,7,1,13,10,9,3
15031,118.7780533,32.03097811,27,7,11,5,5,7,3,4,3,5,21,18,9,4,14,12,7,2
15032,118.7788907,32.03222013,41,8,0,7,0,0,5,2,2,2,8,8,6,2,12,9,5,6
15033,118.7844907,32.03135803,44,16,3,6,10,7,7,10,8,3,30,16,16,7,22,17,18,3
15034,118.7842119,32.03052851,45,26,6,19,7,13,6,7,14,6,58,31,25,19,31,19,21,4
15035,118.7822601,32.03055645,58,13,3,5,4,7,1,4,7,1,16,12,9,1,19,9,11,7
15036,118.7730022,32.02854938,39,5,1,0,1,4,3,1,1,0,9,5,4,3,8,6,1,7
15037,118.7915104,32.02896754,48,17,8,10,7,5,13,10,21,16,28,24,18,6,58,30,31,12
15038,118.7774725,32.02711146,34,12,3,2,4,5,1,0,2,1,14,10,7,3,9,2,3,6
15039,118.7837812,32.02800652,31,7,0,2,3,1,0,4,0,2,5,4,5,0,8,5,6,1
15040,118.7967396,32.02784889,34,10,3,2,0,3,3,7,10,6,11,6,2,6,29,14,17,8
15042,118.7719387,32.02547175,47,11,8,8,9,4,2,5,10,13,26,20,17,5,44,13,16,17
15043,118.782834,32.02527809,42,2,1,2,1,0,2,3,3,3,5,7,5,0,14,6,5,5
15044,118.7760284,32.02303052,49,32,6,15,4,8,5,2,2,3,28,28,18,3,6,10,4,0
15045,118.7772723,32.02311354,35,12,8,5,1,6,2,2,3,2,13,20,6,3,8,7,6,1
15046,118.7819798,32.02393522,57,23,1,5,3,2,3,5,3,4,17,7,9,7,11,8,7,0
15047,118.7822795,32.02395793,41,10,4,3,1,5,2,5,4,4,17,12,5,7,11,11,9,0
15048,118.7815711,32.02290285,35,25,8,11,17,15,15,19,10,25,59,26,29,18,57,43,28,6
15049,118.7815891,32.02231396,21,12,6,6,4,5,7,2,3,3,23,19,10,8,11,16,6,3
15051,118.7851872,32.02369905,41,3,0,1,3,2,0,4,4,2,6,1,5,0,12,6,10,2
15052,118.7870039,32.02335315,62,7,0,3,4,2,1,3,5,2,12,4,6,3,13,4,8,3
15053,118.7883582,32.0234196,40,5,3,0,3,5,6,4,6,4,13,12,3,5,19,11,10,5
15054,118.7927051,32.02254649,29,17,3,4,3,4,1,0,0,3,10,11,7,0,3,3,0,0
15055,118.7703292,32.01964401,25,2,3,1,0,1,4,0,0,2,3,5,2,0,4,4,0,0
15056,118.7696365,32.01925447,45,2,3,2,0,2,1,0,0,2,3,11,2,1,2,0,0,0
15057,118.7746731,32.01892645,45,12,3,4,3,3,1,2,1,4,13,11,9,5,14,6,4,7
15058,118.7785458,32.01920639,47,41,11,12,8,15,5,2,4,6,39,31,20,6,14,12,5,3
15059,118.7839883,32.02038005,31,7,2,1,3,1,1,4,3,3,5,5,4,0,17,9,8,7
15060,118.7861147,32.02024784,24,0,2,1,4,1,1,4,3,5,5,3,5,0,15,7,6,2
15061,118.7957635,32.02118376,36,10,1,2,1,2,0,0,0,3,4,3,2,0,2,1,0,0
15062,118.7979522,32.02293331,52,3,1,1,0,3,0,0,1,0,4,3,2,1,2,1,1,1
15063,118.7841559,32.01887322,61,6,3,1,1,4,13,6,2,7,13,7,2,6,18,28,8,2
15064,118.7903451,32.01864333,31,4,3,1,1,1,1,3,0,3,3,14,2,0,9,4,3,3
15065,118.7842485,32.01509299,42,12,1,4,1,1,2,4,5,2,7,5,4,2,12,8,8,4
15066,118.7886799,32.0143683,23,2,0,2,3,1,1,2,0,2,13,1,5,7,7,2,2,3
15067,118.7904026,32.01398033,36,0,5,3,2,0,2,2,1,0,6,11,5,2,3,5,4,0
15068,118.7945687,32.01487781,59,28,8,10,6,4,2,4,5,1,26,19,16,7,11,10,8,3
15069,118.7828039,32.01302092,43,5,1,1,1,1,3,2,1,0,2,2,1,1,0,6,5,0
15070,118.7930754,32.00899112,35,8,2,3,2,2,2,1,0,0,9,7,5,1,2,3,1,1
15075,118.7899899,32.03301049,33,7,8,3,9,5,1,2,7,4,18,18,13,0,15,5,8,1
15076,118.7801732,32.04013522,40,9,5,3,6,3,4,12,12,12,15,10,9,1,37,19,22,4
15077,118.7748592,32.03247123,27,2,6,1,2,3,2,5,6,5,11,13,3,6,15,9,9,1
15079,118.7996051,32.01888385,26,1,1,0,1,0,0,5,1,1,1,2,0,1,7,6,6,1
15083,118.7930851,32.0059868,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15084,118.7837063,32.00648653,53,6,0,0,1,1,1,1,1,0,4,0,1,1,2,3,3,0
15087,118.7984577,32.01535432,45,9,0,5,1,2,0,1,0,1,7,4,4,0,2,1,0,1
15088,118.7729056,32.03184269,44,5,4,2,5,3,1,0,2,0,9,9,7,0,2,1,2,0
15090,118.7834526,32.01745726,30,12,1,4,2,5,2,2,3,1,11,7,7,0,7,11,5,2
15098,118.768837,32.04143285,50,1,0,1,2,5,1,1,4,3,8,4,3,0,8,4,5,1
15099,118.7683371,32.0395935,34,7,0,1,0,1,2,1,0,0,1,0,1,0,1,3,1,0
15100,118.7785293,32.0354577,39,12,2,14,1,0,0,2,8,1,17,20,13,5,13,3,10,4
15101,118.7794285,32.03622676,40,6,0,9,2,5,3,4,5,11,20,12,10,4,24,14,10,4
15118,118.7817238,32.01066051,48,8,0,0,4,1,0,0,3,3,6,1,4,1,12,2,4,6
15120,118.8004989,32.02161491,24,5,2,2,0,0,0,0,1,0,0,4,0,0,0,0,1,0
15143,118.8011129,32.03283244,35,10,5,4,1,5,1,5,4,2,11,11,5,2,20,13,9,9
15144,118.7993016,32.03003475,30,16,3,3,4,4,10,1,1,5,12,9,7,2,12,15,2,4
15148,118.7750324,32.03627024,35,3,2,3,1,1,3,2,6,3,10,9,3,4,16,12,8,6
